segment_id,distance,entanglement_speed_factor,gate_time_ns,target_metric,distance_contribution,entanglement_speed_factor_contribution,gate_time_ns_contribution,use_log_scale
3_4_6,177.82794100389228,562.341325190349,681292.0690579595,878238916.8538964,0.0772194854490137,0.0032765646606114,0.9660134458452336,True
3_5_1,177.82794100389228,1778.2794100389228,14677.992676220676,158671449.96907455,0.7199888288417963,0.383734828062949,0.0138401313358549,True
3_5_2,177.82794100389228,1778.2794100389228,31622.776601683792,173273937.4585003,0.9604341272934744,0.3727548472557761,0.1375242357106831,True
3_5_3,177.82794100389228,1778.2794100389228,68129.20690579608,208028940.86366376,0.7222578716341682,0.3899197987488866,0.3576385349286676,True
3_5_4,177.82794100389228,1778.2794100389228,146779.92676220674,302004514.05651546,0.5116265858363799,0.1850409605363621,0.6897597647324162,True
3_5_5,177.82794100389228,1778.2794100389228,316227.7660168379,491113478.77734965,0.2673621789397343,0.0117366627692816,0.7178610393499254,True
3_5_6,177.82794100389228,1778.2794100389228,681292.0690579595,877863872.3541367,0.0861050817173649,0.0028810924661825,0.9114073118028716,True
3_6_1,177.82794100389228,5623.413251903491,14677.992676220676,154754060.3127361,0.9013872003696964,0.1371339660843447,0.1519974945938431,True
3_6_2,177.82794100389228,5623.413251903491,31622.776601683792,168839926.3395739,0.9502486274265384,0.1452094288120511,0.2085935942114178,True
3_6_3,177.82794100389228,5623.413251903491,68129.20690579608,205622552.35260248,0.9275991148206222,0.137379200450006,0.4103588978105454,True
3_6_4,177.82794100389228,5623.413251903491,146779.92676220674,300902638.5614117,0.616220070512311,0.1833646674074685,0.6469303400219962,True
3_6_5,177.82794100389228,5623.413251903491,316227.7660168379,493378949.8903139,0.2979455673709271,0.0028232968203867,0.7351417519148724,True
3_6_6,177.82794100389228,5623.413251903491,681292.0690579595,878544699.103886,0.0691761119650965,0.0012179286012289,0.90282373346374,True
4_1_1,562.341325190349,17.78279410038923,14677.992676220676,5949771447.25719,3.846167425037391e-06,0.9984826471902196,1.070294774890849e-09,True
4_1_2,562.341325190349,17.78279410038923,31622.776601683792,5951658752.921348,4.048334371953326e-06,1.0047093736718686,5.3054264071515724e-09,True
4_1_3,562.341325190349,17.78279410038923,68129.20690579608,5952496309.714731,3.915547423978409e-06,0.9921646161924704,2.2029314855430623e-08,True
4_1_4,562.341325190349,17.78279410038923,146779.92676220674,5953909284.621223,4.048841316066553e-06,0.9977811852144568,1.0416488738657569e-07,True
4_1_5,562.341325190349,17.78279410038923,316227.7660168379,5959880269.0524645,4.186164093302803e-06,0.9839436328787072,4.75009050966085e-07,True
4_1_6,562.341325190349,17.78279410038923,681292.0690579595,5964120659.477293,3.933520086881418e-06,0.9718265537015528,2.2010831479806663e-06,True
