segment_id,coherence_time,entanglement_fidelity,operation_fidelity,target_metric,coherence_time_contribution,entanglement_fidelity_contribution,operation_fidelity_contribution,use_log_scale
3_1_3,17782794100.389156,0.9998221720589962,0.9982217205899612,0.0634026507773272,0.4074085497117565,0.0072698927553325,0.7340559517984279,True
3_1_4,17782794100.389156,0.9998221720589962,0.9943765867480968,0.1347774870534306,0.0627187704267137,0.0015406108982489,1.128423370024772,True
3_1_5,17782794100.389156,0.9998221720589962,0.9822172058996111,0.334029163896615,0.0065859908017698,0.0001522188157051,1.1883453316713497,True
3_1_6,17782794100.389156,0.9998221720589962,0.9437658674809656,0.7697697419271818,0.0007929197056789,3.550166785590961e-05,1.197786439063138,True
3_2_1,17782794100.389156,0.9994376586748096,0.9998221720589962,0.0360028934313387,0.8766738139829088,0.0483922509759492,0.0300303584632957,True
3_2_2,17782794100.389156,0.9994376586748096,0.9994376586748096,0.0432352331668972,0.9242797857188444,0.0407937489142702,0.1931516358349394,True
3_2_3,17782794100.389156,0.9994376586748096,0.9982217205899612,0.0666206060861484,0.3632525599999777,0.0168031673438552,0.7276881647027559,True
3_2_4,17782794100.389156,0.9994376586748096,0.9943765867480968,0.1372839136345077,0.0593114302935265,0.0024514848048597,1.1530006459908726,True
3_2_5,17782794100.389156,0.9994376586748096,0.9822172058996111,0.3362995488777688,0.0061184838430587,0.0003082888591881,1.192505812988898,True
3_2_6,17782794100.389156,0.9994376586748096,0.9437658674809656,0.770827469249881,0.0007142247096044,6.280293705069869e-05,1.1948677910191547,True
3_3_1,17782794100.389156,0.9982217205899612,0.9998221720589962,0.0450443348863435,0.7914931952314118,0.1886958295694819,0.0268606253074527,True
3_3_2,17782794100.389156,0.9982217205899612,0.9994376586748096,0.0524453327843122,0.7133331130473043,0.1781748628182317,0.1450358470572449,True
3_3_3,17782794100.389156,0.9982217205899612,0.9982217205899612,0.0754794772338993,0.3632802983326537,0.0871577037867503,0.6891345225170823,True
3_3_4,17782794100.389156,0.9982217205899612,0.9943765867480968,0.1460123073845089,0.0611561095350594,0.0156046219235717,1.1240416078394473,True
3_3_5,17782794100.389156,0.9982217205899612,0.9822172058996111,0.3437059041489287,0.0067535441401401,0.0018956750735282,1.1963375762406598,True
3_3_6,17782794100.389156,0.9982217205899612,0.9437658674809656,0.7753046034623265,0.000741729135491,0.0002041005309959,1.1971295217718825,True
3_4_1,17782794100.389156,0.9943765867480964,0.9998221720589962,0.0736473314263978,0.3040694121819318,0.717756397026161,0.0080320626151939,True
3_4_2,17782794100.389156,0.9943765867480964,0.9994376586748096,0.0812058171050033,0.278575684687343,0.6812123827055929,0.0565593758677625,True
3_4_3,17782794100.389156,0.9943765867480964,0.9982217205899612,0.1038290818179151,0.1863903156187146,0.4694089031032424,0.3610401211242136,True
3_4_4,17782794100.389156,0.9943765867480964,0.9943765867480968,0.1726267813200978,0.0534858459396761,0.1289776429041873,0.981234693604242,True
3_4_5,17782794100.389156,0.9943765867480964,0.9822172058996111,0.3659809267201309,0.0064108312957759,0.0157337960289855,1.186876299712028,True
3_4_6,17782794100.389156,0.9943765867480964,0.9437658674809656,0.7879942218313472,0.0008854867819946,0.0017413461765455,1.204690356023289,True
3_5_1,17782794100.389156,0.9822172058996108,0.9998221720589962,0.1619666694823727,0.0406274442744621,0.9587307729882044,0.0017528732392781,True
