segment_id,distance,entanglement_speed_factor,gate_speed_factor,client_gate_speed_factor,target_metric,distance_contribution,entanglement_speed_factor_contribution,gate_speed_factor_contribution,use_log_scale,timing_mode
5_2_4,1778.2794100389228,112.46826503806972,1.4789576852506185,1.0,1402687789.8307936,0.8259294665351492,0.1358938367673529,0.11178331614686013,True,factor
5_2_5,1778.2794100389228,112.46826503806972,4.676874848402369,1.0,2111847984.2118034,0.420771346704171,0.0019628084222305026,0.5865322673600278,True,factor
5_2_6,1778.2794100389228,112.46826503806972,14.789576852506187,1.0,4517329130.421621,0.06963280466571986,2.097195273649579e-08,0.9233741211953281,True,factor
5_3_1,1778.2794100389228,355.6558820077839,0.04676874848402369,1.0,1049400272.9555981,1.0045052823453324,0.006892383025572104,0.00031697307366252624,True,factor
5_3_2,1778.2794100389228,355.6558820077839,0.14789576852506187,1.0,1068171248.779692,0.9876998250160106,0.005081803049440825,0.0024832635345319615,True,factor
5_3_3,1778.2794100389228,355.6558820077839,0.46768748484023687,1.0,1123239631.389476,0.9955337242643406,0.0009684107086323526,0.010240465484859754,True,factor
5_3_4,1778.2794100389228,355.6558820077839,1.4789576852506185,1.0,1345135246.183721,0.8783294435589133,1.547099050816926e-05,0.1207510534806718,True,factor
5_3_5,1778.2794100389228,355.6558820077839,4.676874848402369,1.0,2105900195.4461865,0.41882999246106695,8.604886962184866e-08,0.5866865291295457,True,factor
5_3_6,1778.2794100389228,355.6558820077839,14.789576852506187,1.0,4517145442.015023,0.06623009353329987,2.892631403319561e-08,0.935285361441996,True,factor
5_4_1,1778.2794100389228,1124.682650380696,0.04676874848402369,1.0,1046135640.7725341,1.0045978199708832,0.0073265345506953895,0.0008169612343390546,True,factor
5_4_2,1778.2794100389228,1124.682650380696,0.14789576852506187,1.0,1062831604.469923,0.9587821172046168,0.004953565089420859,0.001711915777625721,True,factor
5_4_3,1778.2794100389228,1124.682650380696,0.46768748484023687,1.0,1119266717.2176216,0.9908873220229631,0.001438395968938936,0.010341962424338881,True,factor
5_4_4,1778.2794100389228,1124.682650380696,1.4789576852506185,1.0,1344364332.7870598,0.8785327430374065,1.0417698272653917e-05,0.1222095279492189,True,factor
5_4_5,1778.2794100389228,1124.682650380696,4.676874848402369,1.0,2105830490.8196068,0.41959129141820967,1.4650366572051283e-07,0.5881232329661348,True,factor
5_4_6,1778.2794100389228,1124.682650380696,14.789576852506187,1.0,4517501864.585725,0.06546161424305445,1.2656212382517105e-08,0.9232414820369771,True,factor
5_5_1,1778.2794100389228,3556.558820077839,0.04676874848402369,1.0,1044189808.779589,0.9955416073457025,0.003348574143578222,0.00040325945337500155,True,factor
5_5_2,1778.2794100389228,3556.558820077839,0.14789576852506187,1.0,1061056084.5046804,0.9904064632181364,0.0022533284875980155,0.0025151707033566335,True,factor
5_5_3,1778.2794100389228,3556.558820077839,0.46768748484023687,1.0,1119291764.2254252,0.9454203716247224,0.000624097817752171,0.010606544015937067,True,factor
5_5_4,1778.2794100389228,3556.558820077839,1.4789576852506185,1.0,1344567643.6085784,0.9215992983024298,1.2960649851147115e-05,0.12175142797327622,True,factor
5_5_5,1778.2794100389228,3556.558820077839,4.676874848402369,1.0,2106123672.5018601,0.41576427336260113,1.1943774465241885e-07,0.5850794041497934,True,factor
5_5_6,1778.2794100389228,3556.558820077839,14.789576852506187,1.0,4517618118.708287,0.06604477575076008,4.894799389267593e-08,0.9314529356278326,True,factor
5_6_1,1778.2794100389228,11246.82650380696,0.04676874848402369,1.0,1042972597.4769115,1.0185683259364282,0.0005992314999283046,0.0002611313004282931,True,factor
5_6_2,1778.2794100389228,11246.82650380696,0.14789576852506187,1.0,1061264565.378463,0.9994543163765917,0.0005025655552731993,0.0021597461441991705,True,factor
